biomarker,variable_name,primary_pathway,secondary_pathway,demographic,phase,min_age,max_age,operator,low_value,high_value,qualitative_value,label,color,optimal_range,units,diagnosis,superclinic_code,remark,Description,Source
APO B / APO A1 RATIO (APO B/A1),APB/,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, VITAL ORGANS (LIVER, PANCREAS)",FEMALE,ALL,10,120,lt,,0.38,,LOW,ORANGE,0.38-1.14,Ratio,,APB/_LOW,"A low ApoB/A1 ratio reflects a cardioprotective profile with fewer atherogenic particles and strong HDL-mediated cholesterol clearance. In women, this correlates with reduced risk of atherosclerosis, coronary artery disease, and stroke. It indicates effective lipid metabolism and favorable cardiovascular resilience.","Assesses cardiovascular risk, guides early heart health intervention.",THYROCARE
APOLIPOPROTEIN - A1 (APO-A1),APOA,CARDIOVASCULAR HEALTH,"VITAL ORGANS (LIVER), METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, NUTRITION",MALE,ALL,10,120,between,86,152,,OPTIMAL,GREEN,86-152,mg/dL,,APOA_OPTIMAL,"Optimal ApoA1 indicates effective HDL activity, healthy lipid metabolism, and lower risk of atherosclerosis. It reflects adequate reverse cholesterol transport and protective anti-inflammatory functions. In men, optimal ApoA1 supports long-term vascular health and cardioMETABOLIC HEALTH resilience.","Main HDL protein, supports cholesterol transport and heart health.",THYROCARE
APOLIPOPROTEIN - A1 (APO-A1),APOA,CARDIOVASCULAR HEALTH,"VITAL ORGANS (LIVER), METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, NUTRITION",MALE,ALL,10,120,gt,152,,,HIGH,ORANGE,86-152,mg/dL,,APOA_HIGH,"High ApoA1 often indicates strong HDL-mediated cholesterol clearance and cardiovascular protection. However, very high values may occasionally reflect dysfunctional HDL particles or genetic variants. In most men, elevated ApoA1 is favorable, but interpretation must consider overall lipid profile and inflammation status.","Main HDL protein, supports cholesterol transport and heart health.",THYROCARE
APOLIPOPROTEIN - A1 (APO-A1),APOA,CARDIOVASCULAR HEALTH,"VITAL ORGANS (LIVER), METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, NUTRITION",MALE,ALL,10,120,lt,,86,,LOW,ORANGE,86-152,mg/dL,,APOA_LOW,"Low ApoA1 suggests reduced HDL function, diminished reverse cholesterol transport, and impaired vascular protection. In men, this strongly correlates with higher cardiovascular risk, METABOLIC HEALTH syndrome, and systemic inflammation. It may reflect poor lifestyle factors, liver disease, or genetic dyslipidemias impairing HDL metabolism.","Main HDL protein, supports cholesterol transport and heart health.",THYROCARE
APOLIPOPROTEIN - A1 (APO-A1),APOA,CARDIOVASCULAR HEALTH,"VITAL ORGANS (LIVER), METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, NUTRITION",FEMALE,ALL,10,120,between,94,162,,OPTIMAL,GREEN,94-162,mg/dL,,APOA_OPTIMAL,"Optimal ApoA1 reflects effective HDL functionality and vascular protection. It indicates strong reverse cholesterol transport, anti-inflammatory balance, and reduced risk for atherosclerosis. In women, optimal values are associated with lower long-term cardiovascular disease risk and healthy lipid metabolism.","Main HDL protein, supports cholesterol transport and heart health.",THYROCARE
APOLIPOPROTEIN - A1 (APO-A1),APOA,CARDIOVASCULAR HEALTH,"VITAL ORGANS (LIVER), METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, NUTRITION",FEMALE,ALL,10,120,gt,162,,,HIGH,ORANGE,94-162,mg/dL,,APOA_HIGH,"High ApoA1 may suggest robust HDL activity, but excessively elevated values can sometimes indicate altered HDL particle composition or rare genetic variants. In most cases, higher ApoA1 in women is protective, but context is important if accompanied by other METABOLIC HEALTH or inflammatory abnormalities.","Main HDL protein, supports cholesterol transport and heart health.",THYROCARE
APOLIPOPROTEIN - A1 (APO-A1),APOA,CARDIOVASCULAR HEALTH,"VITAL ORGANS (LIVER), METABOLIC HEALTH, INFLAMMAGING, CELLULAR HEALTH, NUTRITION",FEMALE,ALL,10,120,lt,,94,,LOW,ORANGE,94-162,mg/dL,,APOA_LOW,"Low ApoA1 indicates reduced HDL-mediated cholesterol clearance and weaker vascular protection. This is associated with higher cardiovascular risk, systemic inflammation, and METABOLIC HEALTH dysfunction. In women, low ApoA1 can signal impaired lipid transport, hormonal influences (e.g., postmenopause), or chronic illness impacting HDL functionality.","Main HDL protein, supports cholesterol transport and heart health.",THYROCARE
APOLIPOPROTEIN - B (APO-B),APOB,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, VITAL ORGANS (LIVER), CELLULAR HEALTH, HORMONES",MALE,ALL,10,120,between,56,145,,OPTIMAL,GREEN,56-145,mg/dL,,APOB_OPTIMAL,"Optimal ApoB indicates healthy balance of atherogenic lipoproteins, with efficient lipid transport and low risk for plaque development. In men, it reflects well-controlled lipid metabolism, supporting long-term vascular protection and METABOLIC HEALTH when combined with adequate HDL and favorable ApoB/A1 ratio.","Primary LDL protein, indicates cardiovascular risk and lipid balance.",THYROCARE
APOLIPOPROTEIN - B (APO-B),APOB,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, VITAL ORGANS (LIVER), CELLULAR HEALTH, HORMONES",MALE,ALL,10,120,gt,145,,,HIGH,ORANGE,56-145,mg/dL,,APOB_HIGH,"High ApoB reflects elevated atherogenic lipoprotein particle number, directly linked to arterial plaque formation, endothelial dysfunction, and increased cardiovascular disease risk. In men, high ApoB is a strong predictor of myocardial infarction, stroke, and METABOLIC HEALTH dysfunction, even when LDL cholesterol appears normal.","Primary LDL protein, indicates cardiovascular risk and lipid balance.",THYROCARE
APOLIPOPROTEIN - B (APO-B),APOB,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, VITAL ORGANS (LIVER), CELLULAR HEALTH, HORMONES",MALE,ALL,10,120,lt,,56,,LOW,ORANGE,56-145,mg/dL,,APOB_LOW,"Low ApoB reflects a low concentration of atherogenic lipoprotein particles, suggesting minimal risk for atherosclerosis and cardiovascular events. While generally protective, very low ApoB may rarely be linked to malnutrition, malabsorption, or certain genetic hypolipidemias.","Primary LDL protein, indicates cardiovascular risk and lipid balance.",THYROCARE
APOLIPOPROTEIN - B (APO-B),APOB,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, VITAL ORGANS (LIVER), CELLULAR HEALTH, HORMONES",FEMALE,ALL,10,120,between,53,138,,OPTIMAL,GREEN,53-138,mg/dL,,APOB_OPTIMAL,"Optimal ApoB indicates healthy lipid metabolism with balanced levels of atherogenic particles. In women, it reflects effective vascular protection and low cardiovascular risk, particularly when ApoA1 is sufficient and ApoB/A1 ratio is favorable. This range supports long-term METABOLIC HEALTH and cardiovascular health.","Primary LDL protein, indicates cardiovascular risk and lipid balance.",THYROCARE
APOLIPOPROTEIN - B (APO-B),APOB,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, VITAL ORGANS (LIVER), CELLULAR HEALTH, HORMONES",FEMALE,ALL,10,120,gt,138,,,HIGH,ORANGE,53-138,mg/dL,,APOB_HIGH,"High ApoB reflects elevated numbers of atherogenic lipoproteins, increasing cardiovascular disease risk. In women, this is linked to higher likelihood of plaque buildup, arterial inflammation, and ischemic events, especially postmenopausally when estrogen’s protective effect declines. Even with normal LDL-C, high ApoB predicts significant ASCVD risk.","Primary LDL protein, indicates cardiovascular risk and lipid balance.",THYROCARE
APOLIPOPROTEIN - B (APO-B),APOB,CARDIOVASCULAR HEALTH,"METABOLIC HEALTH, INFLAMMAGING, VITAL ORGANS (LIVER), CELLULAR HEALTH, HORMONES",FEMALE,ALL,10,120,lt,,53,,LOW,ORANGE,53-138,mg/dL,,APOB_LOW,"Low ApoB reflects a low number of circulating atherogenic particles, associated with reduced risk of atherosclerosis and cardiovascular disease. In women, this profile is generally protective, though very low values may occasionally signal malnutrition, malabsorption, or rare lipid disorders.","Primary LDL protein, indicates cardiovascular risk and lipid balance.",THYROCARE
ANTI THYROGLOBULIN ANTIBODY (ATG),ATG,HORMONES,"IMMUNITY, INFLAMMAGING, GUT HEALTH, CELLULAR HEALTH, NUTRITION",ALL,ALL,10,120,between,0,4,,OPTIMAL,GREEN,0-4,IU/ml,,ATG_OPTIMAL,"An optimal (negative) Anti-Tg result indicates no detectable autoantibodies against thyroglobulin, reflecting preserved immune tolerance and low risk of autoimmune thyroid disease. This suggests stable thyroid hormone production and minimal likelihood of thyroid dysfunction or progression toward autoimmune thyroiditis.","Targets thyroglobulin, indicates autoimmune thyroid conditions like Hashimoto’s.",THYROCARE
ANTI THYROGLOBULIN ANTIBODY (ATG),ATG,HORMONES,"IMMUNITY, INFLAMMAGING, GUT HEALTH, CELLULAR HEALTH, NUTRITION",ALL,ALL,10,120,gt,4,,,HIGH,ORANGE,0-4,IU/ml,AUTOIMMUNE THYROID DISEASE,ATG_HIGH,"High Anti-Tg levels indicate immune system reactivity against thyroglobulin, often associated with autoimmune thyroid disease (e.g., Hashimoto’s thyroiditis, less commonly Graves’ disease). Functionally, this reflects thyroid tissue inflammation and potential progression toward hypothyroidism or fluctuating thyroid function. It may coexist with Anti-TPO antibodies for stronger predictive value.","Targets thyroglobulin, indicates autoimmune thyroid conditions like Hashimoto’s.",THYROCARE
BUN / Sr.CREATININE RATIO,B/CR,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, HORMONES, NUTRITION",ALL,ALL,10,120,lt,,10,,LOW,ORANGE,12-20,Ratio,,B/CR_LOW,"A low BUN/Cr ratio suggests reduced urea production or increased creatinine relative to BUN. Causes include advanced liver disease, low protein intake, or increased creatinine from muscle injury. Functionally, it may indicate impaired hepatic urea cycle function or muscle breakdown rather than primary renal pathology.","Compares BUN to creatinine, assesses kidney function and hydration.",THYROCARE
BUN / Sr.CREATININE RATIO,B/CR,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, HORMONES, NUTRITION",ALL,ALL,10,120,between,10,12,,SUBOPTIMAL,YELLOW,12-20,Ratio,,B/CR_SUBOPTIMAL,"Suboptimal (slightly below expected range) ratios may reflect early nutritional imbalance, mild hepatic insufficiency, or borderline renal clearance changes. While not always clinically significant, it may represent early METABOLIC HEALTH shifts requiring monitoring.","Compares BUN to creatinine, assesses kidney function and hydration.",THYROCARE
BUN / Sr.CREATININE RATIO,B/CR,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, HORMONES, NUTRITION",ALL,ALL,10,120,between,12,20,,OPTIMAL,GREEN,12-20,Ratio,,B/CR_OPTIMAL,"An optimal BUN/Cr ratio reflects balanced protein metabolism, hepatic urea production, and renal clearance. It indicates good hydration, stable muscle metabolism, and intact kidney perfusion. This state suggests healthy systemic METABOLIC HEALTH and renal function.","Compares BUN to creatinine, assesses kidney function and hydration.",THYROCARE
BUN / Sr.CREATININE RATIO,B/CR,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, HORMONES, NUTRITION",ALL,ALL,10,120,between,20,24,,ELEVATED,YELLOW,12-20,Ratio,,B/CR_ELEVATED,"An elevated ratio often indicates prerenal causes such as dehydration, reduced renal perfusion, or high protein intake. It may also occur in upper GI bleeding due to increased urea absorption. Functionally, it reflects disproportionate urea accumulation compared to creatinine clearance.","Compares BUN to creatinine, assesses kidney function and hydration.",THYROCARE
BUN / Sr.CREATININE RATIO,B/CR,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, HORMONES, NUTRITION",ALL,ALL,10,120,gt,24,,,HIGH,ORANGE,12-20,Ratio,,B/CR_HIGH,"A markedly high BUN/Cr ratio suggests significant prerenal azotemia (e.g., dehydration, heart failure, shock), severe catabolic states, or gastrointestinal bleeding. It reflects impaired renal perfusion with excessive urea retention. Persistent high ratios warrant urgent evaluation for systemic or renal pathology.","Compares BUN to creatinine, assesses kidney function and hydration.",THYROCARE
BASOPHILS PERCENTAGE,BASO,IMMUNITY,"INFLAMMAGING, GUT HEALTH",ALL,ALL,10,120,between,0,2,,OPTIMAL,GREEN,0-2,%,,BASO_OPTIMAL,"An optimal basophil percentage reflects normal immune balance, with appropriate availability for allergic and inflammatory signaling without excess activation. It indicates healthy bone marrow production, balanced granulocyte function, and controlled immune reactivity, supporting systemic immune homeostasis.","Measures basophil percentage, evaluates allergies, inflammation, blood disorders.",THYROCARE
BASOPHILS PERCENTAGE,BASO,IMMUNITY,"INFLAMMAGING, GUT HEALTH",ALL,ALL,10,120,gt,2,,,HIGH,ORANGE,0-2,%,,BASO_HIGH,"High basophil percentage (basophilia) may signal allergic conditions, chronic inflammation, hypothyroidism, or myeloproliferative disorders. It reflects exaggerated histamine and cytokine release with potential for allergic symptoms, asthma, eczema, or systemic inflammatory activity. Persistent elevations require correlation with absolute basophil count and clinical context.","Measures basophil percentage, evaluates allergies, inflammation, blood disorders.",THYROCARE
BASOPHILS PERCENTAGE,BASO,IMMUNITY,"INFLAMMAGING, GUT HEALTH",ALL,ALL,10,120,lt,,0,,LOW,ORANGE,0-2,%,,BASO_LOW,"Low basophil percentage (basopenia) is common and usually clinically insignificant. It may occur during acute stress, corticosteroid use, or acute infection when neutrophils dominate. Functionally, it reflects transient immune redistribution rather than a loss of immune competence. Persistent basopenia is rarely concerning in isolation.","Measures basophil percentage, evaluates allergies, inflammation, blood disorders.",THYROCARE
BILIRUBIN (INDIRECT),BILI,VITAL ORGANS (LIVER),"CELLULAR HEALTH, METABOLIC HEALTH, NUTRITION",ALL,ALL,10,120,between,0,0.9,,OPTIMAL,GREEN,0-0.9,mg/dL,,BILI_OPTIMAL,"Optimal indirect bilirubin reflects balanced red blood cell turnover, intact hepatic uptake, and efficient bilirubin metabolism. It indicates stable hemolysis-to-clearance ratio, healthy hepatocyte function, and absence of excessive oxidative or hemolytic stress. This balance supports systemic METABOLIC HEALTH and liver stability.",Indicates red blood cell breakdown and liver processing efficiency.,THYROCARE
BILIRUBIN (INDIRECT),BILI,VITAL ORGANS (LIVER),"CELLULAR HEALTH, METABOLIC HEALTH, NUTRITION",ALL,ALL,10,120,gt,0.9,,,HIGH,ORANGE,0-0.9,mg/dL,,BILI_HIGH,"High indirect bilirubin may result from hemolysis, ineffective erythropoiesis, or impaired liver uptake/conjugation (e.g., Gilbert’s syndrome, liver disease). Functionally, it reflects excessive bilirubin production or reduced hepatic clearance. Persistent elevations may indicate hemolytic anemia, liver dysfunction, or hereditary bilirubin disorders.",Indicates red blood cell breakdown and liver processing efficiency.,THYROCARE
BILIRUBIN (INDIRECT),BILI,VITAL ORGANS (LIVER),"CELLULAR HEALTH, METABOLIC HEALTH, NUTRITION",ALL,ALL,10,120,lt,,0,,LOW,ORANGE,0-0.9,mg/dL,,BILI_LOW,"Low indirect bilirubin is uncommon and usually not clinically significant. It may occur with reduced red blood cell turnover, certain medications, or lab variation. Functionally, very low values do not typically indicate pathology, as bilirubin is normally kept at low circulating levels.",Indicates red blood cell breakdown and liver processing efficiency.,THYROCARE
BILIRUBIN - DIRECT,BILD,VITAL ORGANS (LIVER),"INFLAMMAGING, GUT HEALTH",ALL,ALL,10,120,lt,,0.3,,OPTIMAL,GREEN,<0.3,mg/dL,,BILD_OPTIMAL,"Optimal direct bilirubin indicates intact liver conjugation processes and efficient biliary clearance. It reflects balanced heme breakdown, healthy hepatocyte function, and unobstructed bile flow. This range supports stable METABOLIC HEALTH balance, minimal oxidative stress, and preserved liver detoxification pathways.","Measures direct bilirubin, evaluates liver function and disease.",THYROCARE
BILIRUBIN - DIRECT,BILD,VITAL ORGANS (LIVER),"INFLAMMAGING, GUT HEALTH",ALL,ALL,10,120,gt,0.3,,,HIGH,ORANGE,<0.3,mg/dL,,BILD_HIGH,"High direct bilirubin suggests impaired hepatobiliary excretion, commonly from cholestasis, hepatitis, biliary obstruction (e.g., gallstones, tumors), or advanced liver disease. It reflects accumulation of conjugated bilirubin in the bloodstream, often presenting with jaundice, dark urine, or pruritus if significantly elevated.","Measures direct bilirubin, evaluates liver function and disease.",THYROCARE
BILIRUBIN - TOTAL,BILT,VITAL ORGANS (LIVER),"CELLULAR HEALTH, METABOLIC HEALTH, NUTRITION",ALL,ALL,10,120,between,0.3,1.2,,OPTIMAL,GREEN,0.3-1.2,mg/dL,,BILT_OPTIMAL,"Optimal bilirubin indicates balanced red blood cell breakdown, effective liver conjugation, and unobstructed biliary excretion. It reflects healthy hepatic function, normal hemolysis-to-clearance dynamics, and stable METABOLIC HEALTH balance. This range supports antioxidant protection and systemic detoxification capacity.","Measures total bilirubin, evaluates liver function and disease.",THYROCARE
BILIRUBIN - TOTAL,BILT,VITAL ORGANS (LIVER),"CELLULAR HEALTH, METABOLIC HEALTH, NUTRITION",ALL,ALL,10,120,gt,1.2,,,HIGH,ORANGE,0.3-1.2,mg/dL,,BILT_HIGH,"High total bilirubin may reflect hemolysis, impaired hepatic uptake/conjugation (e.g., Gilbert’s syndrome, hepatitis), or obstructive pathology (gallstones, cholestasis). Persistent hyperbilirubinemia indicates excess bilirubin accumulation, which can cause jaundice, oxidative stress, and signal underlying hematologic or hepatobiliary disease requiring investigation.","Measures total bilirubin, evaluates liver function and disease.",THYROCARE
BILIRUBIN - TOTAL,BILT,VITAL ORGANS (LIVER),"CELLULAR HEALTH, METABOLIC HEALTH, NUTRITION",ALL,ALL,10,120,lt,,0.3,,LOW,ORANGE,0.3-1.2,mg/dL,,BILT_LOW,"Low bilirubin is uncommon and usually not clinically significant. It may reflect reduced red blood cell turnover, certain medications, or methodological lab variations. Functionally, bilirubin also acts as an antioxidant, so extremely low levels may suggest reduced heme turnover, but without strong clinical impact in most cases.","Measures total bilirubin, evaluates liver function and disease.",THYROCARE
BODY_MASS_INDEX,BODY_MASS_INDEX,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NUTRITION, MUSCULOSKELETAL HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,lt,,18.4,,LOW,ORANGE,18.5-22.9,kg/m²,UNDERWEIGHT,BODY_MASS_INDEX_LOW,"Low BMI (<18.5 kg/m²) may indicate undernutrition, malabsorption, chronic illness, or excessive calorie deficit. It is associated with reduced immune resilience, micronutrient deficiencies, decreased bone density, hormonal imbalances, and, in severe cases, frailty or sarcopenia.","Calculates weight relative to height, assesses body fat levels.",PRE-CHECK 
BODY_MASS_INDEX,BODY_MASS_INDEX,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NUTRITION, MUSCULOSKELETAL HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,between,18.5,22.9,,OPTIMAL,GREEN,18.5-22.9,kg/m²,NORMAL BMI,BODY_MASS_INDEX_OPTIMAL,"Optimal BMI (generally 18.5–24.9 kg/m²) reflects balanced energy intake and expenditure, with lower risk for METABOLIC HEALTH and cardiovascular disease. It supports hormonal balance, musculoskeletal health, and reduced inflammatory burden, though body composition should still be considered for precise health insights.","Calculates weight relative to height, assesses body fat levels.",PRE-CHECK 
BODY_MASS_INDEX,BODY_MASS_INDEX,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NUTRITION, MUSCULOSKELETAL HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,between,23,24.9,,ELEVATED,YELLOW,18.5-22.9,kg/m²,OVERWEIGHT,BODY_MASS_INDEX_ELEVATED,"Elevated BMI (25–29.9 kg/m², overweight range) indicates excess body weight that may come from fat or muscle. In many, it signals early METABOLIC HEALTH risk including insulin resistance, hypertension, and systemic inflammation. Clinical impact depends on fat distribution and METABOLIC HEALTH profile.","Calculates weight relative to height, assesses body fat levels.",PRE-CHECK 
BODY_MASS_INDEX,BODY_MASS_INDEX,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NUTRITION, MUSCULOSKELETAL HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,between,25,29.9,,HIGH,ORANGE,18.5-22.9,kg/m²,OBESITY I,BODY_MASS_INDEX_HIGH,"High BMI (30–34.9 kg/m², obesity class I) reflects significant excess adiposity and increased risk of METABOLIC HEALTH syndrome, cardiovascular disease, and joint stress. It is often linked to hormonal imbalance, chronic low-grade inflammation, and higher all-cause morbidity.","Calculates weight relative to height, assesses body fat levels.",PRE-CHECK 
BODY_MASS_INDEX,BODY_MASS_INDEX,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NUTRITION, MUSCULOSKELETAL HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,gt,30,,,VERY HIGH,RED,18.5-22.9,kg/m²,OBESITY II,BODY_MASS_INDEX_VERYHIGH,"Very high BMI (≥35 kg/m², obesity class II/III) is associated with severe METABOLIC HEALTH dysfunction, insulin resistance, cardiovascular strain, fatty liver disease, sleep apnea, and increased mortality risk. It reflects critical systemic stress requiring intensive intervention.","Calculates weight relative to height, assesses body fat levels.",PRE-CHECK 
BODY_TEMPERATURE,BODY_TEMPERATURE,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NERVOUS SYSTEM, CELLULAR HEALTH",ALL,ALL,10,120,between,95,97.7,,LOW,ORANGE,97.8-99.1,°F,LOW TEMPERATURE,BODY_TEMPERATURE_LOW,"Low body temperature (<36 °C / 96.8 °F, hypothermia range if sustained) may reflect hypothyroidism, adrenal insufficiency, METABOLIC HEALTH slowdown, shock, or environmental exposure. It indicates impaired heat production or excessive loss, with risks including slowed enzymatic activity, reduced immunity, and cardiovascular compromise if persistent.","Measures body temperature, indicates metabolic activity and overall health.",PRE-CHECK 
BODY_TEMPERATURE,BODY_TEMPERATURE,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NERVOUS SYSTEM, CELLULAR HEALTH",ALL,ALL,10,120,between,97.8,99.1,,OPTIMAL,GREEN,97.8-99.1,°F,NORMAL TEMPERATURE,BODY_TEMPERATURE_OPTIMAL,"Optimal body temperature (~36.5–37.5 °C / 97.7–99.5 °F) reflects stable thermoregulation, balanced METABOLIC HEALTH activity, and intact immune function. It supports optimal enzymatic reactions, energy production, and host defense. Minor circadian or physiological fluctuations are expected and normal in healthy individuals.","Measures body temperature, indicates metabolic activity and overall health.",PRE-CHECK 
BODY_TEMPERATURE,BODY_TEMPERATURE,METABOLIC HEALTH,"HORMONES, INFLAMMAGING, NERVOUS SYSTEM, CELLULAR HEALTH",ALL,ALL,10,120,between,99.2,100.4,,HIGH,ORANGE,97.8-99.1,°F,ELEVATED TEMPERATURE,BODY_TEMPERATURE_HIGH,"High body temperature (>37.5 °C / 99.5 °F, febrile range) indicates increased thermogenesis, often from infection, inflammation, heat stress, or endocrine dysfunction. It reflects systemic immune activation or thermoregulatory failure. Sustained high fevers (>39 °C / 102.2 °F) require evaluation for serious infection or inflammatory disease.","Measures body temperature, indicates metabolic activity and overall health.",PRE-CHECK 
BLOOD UREA NITROGEN (BUN),BUN,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, NUTRITION, CELLULAR HEALTH",ALL,ALL,10,120,between,7.94,20.07,,OPTIMAL,GREEN,7.94-20.07,mg/dL,,BUN_OPTIMAL,"Optimal BUN reflects balanced protein metabolism, healthy liver function, and effective renal excretion. It indicates adequate dietary protein intake, efficient urea synthesis, and stable hydration. This range supports METABOLIC HEALTH stability and overall systemic homeostasis.","Measures BUN, evaluates kidney function and metabolic health.",THYROCARE
BLOOD UREA NITROGEN (BUN),BUN,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, NUTRITION, CELLULAR HEALTH",ALL,ALL,10,120,gt,20.07,,,HIGH,ORANGE,7.94-20.07,mg/dL,,BUN_HIGH,"High BUN may result from dehydration, high protein intake, gastrointestinal bleeding, or renal impairment reducing urea clearance. Functionally, it reflects excess nitrogen load or reduced renal excretion. Persistent elevation suggests underlying kidney dysfunction, catabolic state, or prerenal azotemia.","Measures BUN, evaluates kidney function and metabolic health.",THYROCARE
BLOOD UREA NITROGEN (BUN),BUN,VITAL ORGANS (KIDNEY),"VITAL ORGANS (LIVER), METABOLIC HEALTH, NUTRITION, CELLULAR HEALTH",ALL,ALL,10,120,lt,,7.94,,LOW,ORANGE,7.94-20.07,mg/dL,,BUN_LOW,"Low BUN may result from low protein intake, liver dysfunction (impaired urea synthesis), or overhydration. It reflects reduced urea cycle activity or dilutional effects. Functionally, it may indicate nutritional insufficiency, impaired hepatic metabolism, or systemic illness affecting protein handling.","Measures BUN, evaluates kidney function and metabolic health.",THYROCARE
CALCIUM,CALC,MUSCULOSKELETAL HEALTH,"HORMONES, METABOLIC HEALTH, NUTRITION, CELLULAR HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,gt,10,,,HIGH,ORANGE,9-10,mg/dL,HYPERCALCEMIA,CALC_HIGH,"High calcium (hypercalcemia) may result from hyperparathyroidism, malignancy, vitamin D excess, or chronic granulomatous disease. Functionally, it can impair kidney function, weaken bones through resorption, and disrupt cardiovascular and neurological signaling. Symptoms may include kidney stones, fatigue, constipation, and arrhythmias.","Supports bone health, detects imbalances, monitors joints and osteoporosis.",THYROCARE
CALCIUM,CALC,MUSCULOSKELETAL HEALTH,"HORMONES, METABOLIC HEALTH, NUTRITION, CELLULAR HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,lt,,9,,LOW,ORANGE,9-10,mg/dL,HYPOCALCEMIA,CALC_LOW,"Low calcium (hypocalcemia) may result from vitamin D deficiency, hypoparathyroidism, chronic kidney disease, or low albumin levels. Functionally, it can impair neuromuscular conduction, bone mineralization, and cardiac rhythm. Symptoms may include muscle cramps, paresthesias, tetany, or arrhythmias if severe.","Supports bone health, detects imbalances, monitors joints and osteoporosis.",THYROCARE
CALCIUM,CALC,MUSCULOSKELETAL HEALTH,"HORMONES, METABOLIC HEALTH, NUTRITION, CELLULAR HEALTH, CARDIOVASCULAR HEALTH",ALL,ALL,10,120,between,9,10,,OPTIMAL,GREEN,9-10,mg/dL,,CALC_OPTIMAL,"Optimal calcium reflects balanced mineral metabolism, strong bone mineralization, and stable neuromuscular signaling. It indicates effective regulation by PTH, vitamin D, and kidney function. This state supports skeletal integrity, normal coagulation, and efficient cellular signaling processes.","Supports bone health, detects imbalances, monitors joints and osteoporosis.",THYROCARE
CALCITONIN,CALCT,HORMONES,"MUSCULOSKELETAL HEALTH, METABOLIC HEALTH, VITAL ORGAN (KIDNEY), CELLULAR HEALTH",MALE,ALL,10,120,lt,,5.7,,OPTIMAL,GREEN,<5.7,pg/mL,,CALCT_OPTIMAL,"Optimal calcitonin levels indicate stable thyroid C-cell activity, balanced calcium metabolism, and absence of C-cell hyperplasia or neoplastic transformation. This reflects healthy thyroid endocrine function, with no biochemical evidence of medullary thyroid carcinoma or abnormal calcium-regulating hormone secretion.","Regulates calcium levels, monitors medullary thyroid cancer progression.",THYROCARE
CALCITONIN,CALCT,HORMONES,"MUSCULOSKELETAL HEALTH, METABOLIC HEALTH, VITAL ORGAN (KIDNEY), CELLULAR HEALTH",MALE,ALL,10,120,gt,5.7,,,HIGH,ORANGE,<5.7,pg/mL,,CALCT_HIGH,"High calcitonin in men is a red flag for C-cell pathology, most notably medullary thyroid carcinoma, but can also occur with C-cell hyperplasia, renal insufficiency, or proton-pump inhibitor use. Elevated values reflect abnormal C-cell proliferation or dysregulated calcium homeostasis, often warranting urgent evaluation.","Regulates calcium levels, monitors medullary thyroid cancer progression.",THYROCARE
